title,text,subject,date
Modi government launches PM Kisan Samman Nidhi scheme for farmers,"New Delhi (PTI) - Prime Minister Narendra Modi launched the Pradhan Mantri Kisan Samman Nidhi scheme, under which eligible farmer families would receive Rs 6,000 per year in direct income support, paid in three equal instalments. The scheme was announced in the interim budget and was made applicable to all farmer families across the country. The government said the scheme would benefit approximately 120 million farming families across India.",Politics,"February 24, 2019"
India and China agree to disengage troops from all friction points in eastern Ladakh,"New Delhi (PTI) - India and China reached an agreement on patrolling arrangements along the Line of Actual Control in eastern Ladakh, effectively ending the over four-year military standoff that began in May 2020. The Indian Army confirmed that disengagement had been completed at the Depsang and Demchok friction points. The agreement was announced by the Ministry of External Affairs. The two countries agreed to resume normal patrolling activities.",Politics,"October 21, 2024"
Amit Shah introduces Citizenship Amendment Act in Parliament,"New Delhi (PTI) - Home Minister Amit Shah introduced the Citizenship Amendment Bill in the Lok Sabha, which proposed to grant Indian citizenship to persecuted minorities from Pakistan, Bangladesh and Afghanistan. The bill was passed by the Lok Sabha with 311 votes in favour and 80 against. The bill excluded Muslims from its ambit, triggering widespread protests across the country particularly in the Northeast and universities.",Politics,"December 09, 2019"
Supreme Court upholds abrogation of Article 370 in Jammu and Kashmir,"New Delhi (PTI) - The Supreme Court of India unanimously upheld the constitutional validity of the abrogation of Article 370, which had granted special status to Jammu and Kashmir. A five-judge constitution bench led by Chief Justice D Y Chandrachud also directed the Election Commission to hold assembly elections in J&K by September 30, 2024. The court said the President had the power to abrogate Article 370.",Politics,"December 11, 2023"
India's Opposition forms INDIA alliance ahead of 2024 general elections,"Mumbai (PTI) - Twenty-six opposition parties came together to form the Indian National Developmental Inclusive Alliance, abbreviated as INDIA, to contest the 2024 general elections jointly against the ruling BJP-led NDA. The alliance was announced after a meeting in Mumbai. The member parties included the Indian National Congress, Trinamool Congress, DMK, Aam Aadmi Party, Samajwadi Party, NCP, Shiv Sena and others.",Politics,"July 18, 2023"
Pulwama terror attack kills 40 CRPF jawans in Jammu and Kashmir,"Pulwama (PTI) - A suicide bomber rammed an explosive-laden vehicle into a CRPF convoy on the Jammu-Srinagar National Highway at Pulwama in Jammu and Kashmir, killing at least 40 paramilitary personnel and injuring several others. Pakistan-based terrorist organisation Jaish-e-Mohammed claimed responsibility for the attack. The attack triggered massive outrage across the country and led to severe strain in India-Pakistan relations. The government vowed strong action against the perpetrators.",Security,"February 14, 2019"
Indian Air Force conducts airstrikes on Balakot terror camp in Pakistan,"New Delhi (PTI) - The Indian Air Force conducted airstrikes on a Jaish-e-Mohammed terrorist training camp in Balakot in Pakistan's Khyber Pakhtunkhwa province, in retaliation for the Pulwama terror attack. The strikes were carried out in the early hours and were described as a non-military preemptive action. Foreign Secretary Vijay Gokhale briefed ambassadors in New Delhi about the strikes. Pakistan denied any damage to the camp.",Security,"February 26, 2019"
"Uri army base attack kills 18 soldiers, India launches surgical strikes","Uri (PTI) - Militants attacked an Indian Army brigade headquarters at Uri in Jammu and Kashmir's Baramulla district, killing 18 soldiers and injuring 19 others in one of the deadliest attacks on the armed forces in recent years. The militants stormed the base and set fire to tents before being neutralised. Following the attack, Indian Army special forces conducted surgical strikes across the Line of Control against launch pads used by militants.",Security,"September 18, 2016"
NIA arrests key conspirator in 2006 Mumbai train blasts case,"Mumbai (PTI) - The National Investigation Agency arrested a key conspirator in the July 11, 2006 Mumbai suburban railway serial bomb blasts that killed 188 people and injured more than 800 others. The seven coordinated explosions occurred within 11 minutes across the Western Railway line during the evening rush hour. Several accused including members of the Student Islamic Movement of India and Lashkar-e-Taiba were convicted by a special court.",Security,"March 12, 2023"
"Pathankot airbase attack foiled, five terrorists killed by security forces",Pathankot (PTI) - Security forces killed five terrorists who had attacked the Pathankot Air Force Station in Punjab in a sustained operation lasting several days. The terrorists had entered India from Pakistan and targeted the strategic airbase. Two security personnel were also killed in the operation. The National Investigation Agency probed the attack and the government summoned the Pakistani High Commissioner to lodge a strong protest.,Security,"January 04, 2016"
Maoist attack kills 22 CRPF personnel in Chhattisgarh's Sukma district,Raipur (PTI) - A group of Maoist insurgents ambushed and killed 22 CRPF personnel in Sukma district of Chhattisgarh in one of the deadliest attacks on security forces in the region. The personnel were on a road opening patrol when they were ambushed by the CPI Maoist guerrillas. The attack triggered a massive combing operation in the region. Senior officials said the security forces had been lured into the ambush.,Security,"April 24, 2017"
Terrorist attack on Pahalgam kills 26 tourists in Jammu and Kashmir,"Pahalgam (PTI) - Terrorists opened fire on tourists at Baisaran meadow near Pahalgam in Anantnag district of Jammu and Kashmir, killing 26 people including tourists from various states and a local guide. The attack was one of the deadliest on civilians in the valley in two decades. Security forces launched a massive manhunt for the attackers. The incident triggered nationwide outrage and a diplomatic crisis with Pakistan.",Security,"April 22, 2025"
Coimbatore car bomb blast kills one and injures several near temple,Coimbatore (PTI) - A car exploded near the Kottai Eachanari Vinayagar Temple in Coimbatore killing the lone occupant of the vehicle and injuring several bystanders. The National Investigation Agency took over the probe and arrested multiple persons with alleged links to the Popular Front of India. The case was linked to an alleged larger conspiracy. The police said the incident was a case of a vehicle being used as an improvised explosive device.,Security,"October 23, 2022"
Security forces kill top Hizbul Mujahideen commander in Kashmir encounter,Srinagar (PTI) - Security forces killed a top commander of the Hizbul Mujahideen militant organisation in an encounter in the Sopore area of north Kashmir. The militant commander was among those responsible for several attacks on security forces and civilians in the valley. The Army and J&K Police jointly conducted the operation. The encounter lasted several hours before the security forces neutralised the militants.,Security,"July 13, 2020"
India bans Popular Front of India under UAPA for alleged terror links,"New Delhi (PTI) - The Indian government banned the Popular Front of India and its associated organisations for five years under the Unlawful Activities Prevention Act, citing alleged links with terrorist organisations and activities aimed at destabilising the country. The ban followed a nationwide crackdown in which hundreds of PFI members were arrested across multiple states. Home Minister Amit Shah said the organisation was involved in radicalisation of youth.",Security,"September 27, 2022"
Manipur violence displaces thousands as ethnic clashes continue for months,"Imphal (PTI) - Ethnic violence between the Meitei and Kuki-Zo communities in Manipur continued to displace thousands of people across the state as the conflict entered its second month. More than 200 people were killed and over 50,000 displaced in one of the worst episodes of internal violence in northeast India in decades. The army and central paramilitary forces were deployed in large numbers. The Supreme Court took suo motu cognisance of the situation.",Security,"June 15, 2023"
India becomes world's fifth largest economy surpassing UK,"New Delhi (PTI) - India overtook the United Kingdom to become the world's fifth largest economy in terms of GDP at current market prices, according to data from the International Monetary Fund. India's GDP stood at approximately 3.53 trillion dollars against the UK's 3.38 trillion dollars. The milestone was widely reported and celebrated as a sign of India's growing economic clout. India is now behind only the United States, China, Germany, and Japan.",Economy,"September 02, 2022"
RBI raises repo rate by 50 basis points to tame inflation,Mumbai (PTI) - The Reserve Bank of India's Monetary Policy Committee raised the policy repo rate by 50 basis points to 5.9 percent in its ongoing effort to tame retail inflation which had remained above the 6 percent tolerance band for several months. RBI Governor Shaktikanta Das said the MPC voted unanimously to remain focused on the withdrawal of accommodation to ensure that inflation progressively aligns with the target. GDP growth forecast was revised.,Economy,"September 30, 2022"
Government launches Rs 20 lakh crore economic package to fight COVID-19 impact,"New Delhi (PTI) - Prime Minister Narendra Modi announced a special economic package of Rs 20 lakh crore, equivalent to about 10 percent of India's GDP, to help the country revive from the economic damage caused by the COVID-19 pandemic and the lockdown. The package was announced by Finance Minister Nirmala Sitharaman in five tranches over several days. It included measures for MSMEs, migrant workers, farmers, and the financial sector.",Economy,"May 13, 2020"
India's GDP contracts 23.9 percent in first quarter due to COVID lockdown,"New Delhi (PTI) - India's gross domestic product contracted by 23.9 percent in the April-June quarter of 2020-21, the worst quarterly decline since the country began publishing quarterly GDP data, according to the National Statistical Office. The contraction was attributed to the nationwide lockdown imposed to contain the spread of COVID-19. The manufacturing sector contracted by 39.3 percent while the construction sector contracted by 50.3 percent.",Economy,"August 31, 2020"
Adani Group stocks lose Rs 10 lakh crore market value after Hindenburg report,Mumbai (PTI) - Shares of Adani Group companies lost a combined market capitalisation of over Rs 10 lakh crore in a matter of days following the release of a report by US short-seller Hindenburg Research alleging stock manipulation and accounting fraud. The Adani Group denied all allegations and called the report a malicious combination of selective misinformation. The Supreme Court later constituted an expert committee to examine the matter.,Economy,"February 03, 2023"
Government introduces new labour codes consolidating 44 central laws,"New Delhi (PTI) - The Indian Parliament passed four new labour codes that consolidate 44 existing central labour laws into a simplified framework. The codes cover wages, industrial relations, social security, and occupational safety. Trade unions raised concerns about certain provisions including changes to conditions for layoffs and strikes in larger establishments. The government said the reforms would improve ease of doing business and protect worker rights.",Economy,"September 23, 2020"
"Sensex hits all-time high of 80,000 points for the first time in history","Mumbai (PTI) - The BSE Sensex crossed the historic milestone of 80,000 points for the first time, reflecting strong investor confidence in the Indian economy. The rally was led by gains in banking, information technology, and fast-moving consumer goods stocks. Analysts attributed the rise to strong corporate earnings, robust foreign institutional investor inflows, and expectations of political stability following the general elections. The Nifty 50 also hit a record high.",Economy,"July 03, 2024"
India's forex reserves touch record high of 704 billion dollars,"Mumbai (PTI) - India's foreign exchange reserves touched a record high of 704.88 billion dollars, according to data released by the Reserve Bank of India. The increase was attributed to a rise in foreign currency assets as well as gold reserves. Analysts said the comfortable level of reserves provided adequate import cover and acted as a buffer against external shocks. India ranks among the top five countries globally in terms of foreign exchange reserves.",Economy,"September 27, 2024"
GST collections cross Rs 2 lakh crore mark for the first time,"New Delhi (PTI) - Goods and Services Tax collections crossed the Rs 2 lakh crore mark for the first time in April 2024, according to the Finance Ministry. The collections stood at Rs 2.10 lakh crore, reflecting strong economic activity and improved compliance. Finance Minister Nirmala Sitharaman attributed the milestone to increased consumption and better tax administration. GST was introduced in July 2017 replacing multiple state and central indirect taxes.",Economy,"May 01, 2024"
Nirmala Sitharaman presents sixth consecutive Union Budget,"New Delhi (PTI) - Finance Minister Nirmala Sitharaman presented the Union Budget for 2024-25, her sixth consecutive budget and a record for any finance minister in India. The budget increased capital expenditure to Rs 11.11 lakh crore and announced significant tax relief for the middle class under the new tax regime. She announced increased allocations for infrastructure, agriculture, and education. The fiscal deficit was pegged at 5.1 percent of GDP.",Economy,"February 01, 2024"
India reports over four lakh COVID cases in a single day at second wave peak,"New Delhi (PTI) - India reported a record 4,14,188 new COVID-19 cases in a single day as the second wave of the pandemic swept across the country, overwhelming the healthcare system. Hospitals in major cities including Delhi and Mumbai faced acute shortages of oxygen, ICU beds, and critical medicines. The death toll also reached a record high with 3,915 deaths reported in a single day. Multiple states imposed lockdowns and curfews to control the spread.",Health,"May 07, 2021"
India launches world's largest COVID-19 vaccination drive,"New Delhi (PTI) - India launched the world's largest COVID-19 vaccination drive, beginning with the inoculation of healthcare workers across the country. Prime Minister Narendra Modi addressed the nation and declared the drive a success in the making. Two vaccines — Covishield developed by the Serum Institute of India and Covaxin developed by Bharat Biotech — were approved for emergency use. India aimed to vaccinate 300 million people by July 2021.",Health,"January 16, 2021"
India imposes nationwide lockdown to contain COVID-19 spread,"New Delhi (PTI) - Prime Minister Narendra Modi announced a complete nationwide lockdown for 21 days to contain the spread of COVID-19, giving citizens only four hours notice before the restrictions came into effect. The lockdown required all citizens to stay home except for essential services. It was one of the most stringent lockdowns in the world. The announcement triggered a mass exodus of migrant workers from cities to their home states.",Health,"March 24, 2020"
India achieves milestone of 2 billion COVID-19 vaccine doses administered,"New Delhi (PTI) - India achieved the milestone of administering 2 billion COVID-19 vaccine doses since the launch of its vaccination programme, making it the first country after China to cross this mark. The Union Health Ministry said this achievement was a testament to India's robust vaccination delivery infrastructure. Prime Minister Modi congratulated health workers and scientists. India had vaccinated the majority of its eligible adult population.",Health,"July 17, 2022"
Omicron variant drives third wave of COVID across India,"New Delhi (PTI) - India's third wave of COVID-19 driven by the Omicron variant saw daily case counts rise sharply across the country with major cities including Mumbai, Delhi, and Kolkata reporting the highest numbers. However, hospitalisation rates remained significantly lower than in the second wave. The government reimposed several restrictions including night curfews in multiple states. Health officials urged eligible citizens to receive booster doses.",Health,"January 11, 2022"
"Chandrayaan-3 successfully lands near moon's south pole, India makes history","Bengaluru (ISRO) - India's Chandrayaan-3 spacecraft successfully landed near the south pole of the Moon, making India the fourth country in the world and the first to land near the lunar south pole. The Vikram lander touched down and subsequently deployed the Pragyan rover, which began exploring the lunar surface. Prime Minister Modi, who was attending the BRICS summit in South Africa, joined the celebration virtually. ISRO scientists erupted in joy at the Mission Operations Complex.",Science,"August 23, 2023"
ISRO successfully launches Aditya-L1 solar mission,"Sriharikota (ISRO) - The Indian Space Research Organisation successfully launched the Aditya-L1 spacecraft, India's first space-based solar observatory, aboard the PSLV-C57 rocket from the Satish Dhawan Space Centre in Sriharikota. The spacecraft is destined for the Sun-Earth Lagrangian point 1, located approximately 1.5 million kilometres from Earth, from where it will study the Sun's outer atmosphere, solar winds, and solar flares.",Science,"September 02, 2023"
Chandrayaan-2 orbiter continues to function successfully around moon,"Bengaluru (ISRO) - India's Chandrayaan-2 orbiter continues to function successfully in lunar orbit nearly five years after it was launched, according to ISRO. While the Vikram lander crashed during its soft landing attempt in September 2019, the orbiter has been sending valuable data from its eight scientific instruments. ISRO said the orbiter has a mission life of several more years and has contributed significant data on the lunar surface and exosphere.",Science,"July 22, 2024"
India successfully tests Agni-5 missile with multiple independently targetable warheads,"New Delhi (PTI) - India successfully conducted a flight test of the Agni-5 ballistic missile equipped with Multiple Independently Targetable Re-entry Vehicle technology, becoming one of the few countries to possess this capability. MIRV technology allows a single missile to carry multiple warheads that can hit different targets. The test was conducted from APJ Abdul Kalam Island off the Odisha coast. Defence Minister Rajnath Singh congratulated DRDO and the armed forces.",Science,"March 11, 2024"
IIT researchers develop low-cost COVID testing kit with 96 percent accuracy,"New Delhi (PTI) - Researchers at the Indian Institute of Technology, Delhi developed a low-cost rapid diagnostic kit for detecting COVID-19 with an accuracy of 96 percent. The kit, which could deliver results within one hour at a fraction of the cost of standard RT-PCR tests, was submitted for regulatory approval to the Indian Council of Medical Research. The development was funded by the Department of Science and Technology and offered hope for mass testing in rural areas.",Science,"August 14, 2020"
ISRO's PSLV-C55 successfully places TeLEOS-2 and Lumelite-4 in orbit,Sriharikota (ISRO) - India's Polar Satellite Launch Vehicle PSLV-C55 successfully placed Singapore's TeLEOS-2 and Lumelite-4 satellites into their designated orbits from the Satish Dhawan Space Centre. The mission demonstrated India's growing capabilities as a commercial satellite launch provider. ISRO Chairman S Somanath said the successful launch further established India's position as a reliable partner for international space missions.,Science,"April 22, 2023"
India launches NavIC navigation satellite to enhance regional positioning system,"Sriharikota (ISRO) - India successfully launched the NVS-01 navigation satellite, the first of the second generation of the Navigation with Indian Constellation system, using the GSLV-F12 rocket. The NVS-01 carries an L1 signal payload for the first time, making NavIC signals compatible with civilian receivers worldwide. NavIC provides positioning, navigation, and timing services over India and the surrounding region.",Science,"May 29, 2023"
Cyclone Amphan devastates West Bengal and Odisha killing over 80,"Kolkata (PTI) - Super Cyclone Amphan, the most powerful storm to form in the Bay of Bengal in two decades, made landfall between Digha and Hatibania near the Sunderban delta causing widespread devastation across West Bengal and Odisha. Over 80 people were killed and millions were rendered homeless. The storm caused damage estimated at over Rs 1 lakh crore. The Army and NDRF were deployed for rescue and relief operations.",Disaster,"May 20, 2020"
Uttarakhand floods claim over 200 lives in worst monsoon disaster in years,"Dehradun (PTI) - Flash floods and landslides triggered by extremely heavy monsoon rainfall killed more than 200 people across Uttarakhand in one of the worst natural disasters to hit the hill state in years. Several villages were swept away and hundreds of people remained missing. The Army, NDRF, and SDRF launched massive rescue operations. The disaster caused widespread damage to roads, bridges, and infrastructure in the mountain state.",Disaster,"October 19, 2021"
"Cyclone Tauktae hits Gujarat coast, kills over 150 across western India","Ahmedabad (PTI) - Extremely severe cyclonic storm Tauktae made landfall near Una in Gujarat's Gir Somnath district with wind speeds of up to 175 kilometres per hour, killing over 150 people across Goa, Maharashtra, Karnataka, and Gujarat. A naval vessel with hundreds of COVID patients aboard sank off the Mumbai coast during the storm. Thousands were evacuated ahead of the landfall in the largest pre-cyclone evacuation in years.",Disaster,"May 17, 2021"
"Chamoli glacier burst triggers massive floods in Uttarakhand, kills over 70",Dehradun (PTI) - A massive flood swept through the Rishiganga and Dhauliganga river valleys in Uttarakhand's Chamoli district after a glacier burst triggered a wall of water and debris. The flood destroyed a dam under construction on the Rishiganga river and severely damaged the Tapovan-Vishnugad hydroelectric project. More than 70 people were killed and over 100 remained missing. The disaster raised questions about construction in ecologically fragile mountain zones.,Disaster,"February 07, 2021"
"Cyclone Biparjoy makes landfall in Kutch, thousands evacuated","Ahmedabad (PTI) - Extremely severe cyclonic storm Biparjoy made landfall near Jakhau port in Kutch district of Gujarat after more than 100,000 people were evacuated from coastal areas of Gujarat and Rajasthan. The storm caused significant damage to infrastructure and disrupted power supply in several districts. No major loss of life was reported due to the pre-emptive evacuations. The NDRF deployed 34 teams for relief and rescue operations.",Disaster,"June 15, 2023"
"India wins T20 World Cup 2024, defeating South Africa in final",Bridgetown (PTI) - India won the ICC Men's T20 World Cup 2024 for the second time by defeating South Africa by seven runs in the final at Kensington Oval in Barbados. Virat Kohli scored a crucial 76 runs and was named Player of the Match. India remained unbeaten throughout the tournament. The victory came after an eleven-year wait for an ICC title. Captain Rohit Sharma and coach Rahul Dravid were given a heroes' welcome on their return to India.,Sports,"June 29, 2024"
Neeraj Chopra wins gold medal in javelin throw at Tokyo Olympics,Tokyo (PTI) - Neeraj Chopra became only the second Indian athlete to win an individual gold medal at the Olympic Games when he threw the javelin a distance of 87.58 metres at the Tokyo Summer Olympics. The 23-year-old from Haryana produced his best throw in the first attempt and held on to clinch India's first ever gold medal in athletics at the Olympics. The victory was celebrated across India. He was subsequently awarded the Major Dhyan Chand Khel Ratna award.,Sports,"August 07, 2021"
India beat Pakistan in World Cup 2023 match by seven wickets,"Ahmedabad (PTI) - India defeated Pakistan by seven wickets in the ICC Cricket World Cup 2023 group stage match at the Narendra Modi Stadium in Ahmedabad. Jasprit Bumrah and Kuldeep Yadav wreaked havoc with the ball as Pakistan were bowled out for 191. India chased the target with more than 10 overs to spare. Rohit Sharma scored 86 runs. The match was watched by a record crowd of over 100,000 at the stadium.",Sports,"October 14, 2023"
PV Sindhu becomes first Indian to win two Olympic medals winning silver,"Tokyo (PTI) - PV Sindhu became the first Indian to win two Olympic medals when she won a bronze medal at the Tokyo Summer Olympics, adding to the silver she had won at the Rio Olympics in 2016. Sindhu defeated China's He Bingjiao in the bronze medal match of the women's singles badminton event. She had been defeated in the semifinal by the eventual gold medallist. The achievement cemented her status as India's greatest shuttler.",Sports,"August 01, 2021"
India hosts G20 Summit successfully under its presidency,"New Delhi (PTI) - India successfully hosted the G20 Leaders' Summit at Bharat Mandapam in New Delhi under its presidency. The summit adopted the New Delhi Declaration by consensus, with all 20 member countries endorsing the document. Prime Minister Modi announced the addition of the African Union as a permanent member of the G20. The summit was attended by leaders including US President Joe Biden, UK Prime Minister Rishi Sunak, and French President Emmanuel Macron.",Politics,"September 09, 2023"
Virat Kohli announces retirement from Test cricket,"New Delhi (PTI) - Star Indian cricketer Virat Kohli announced his retirement from Test cricket in a post on social media. Kohli, who is widely regarded as one of the greatest batsmen in the history of the game, scored 9,230 runs in 123 Test matches including 30 centuries. He captained the Indian team to several memorable Test victories including a historic series win in Australia. His retirement marked the end of an era in Indian cricket.",Sports,"May 12, 2025"
Mirabai Chanu wins silver medal in weightlifting at Tokyo Olympics,"Tokyo (PTI) - Saikhom Mirabai Chanu won a silver medal in the 49 kg category in weightlifting at the Tokyo Summer Olympics, giving India its first medal of the Games. Chanu lifted a total weight of 202 kg in the clean and jerk and snatch disciplines. The 26-year-old from Manipur had won gold at the 2017 World Weightlifting Championships. Her medal was India's first in Olympic weightlifting since Karnam Malleswari won bronze at the Sydney Olympics in 2000.",Sports,"July 24, 2021"
Supreme Court upholds right to privacy as fundamental right,New Delhi (PTI) - A nine-judge constitution bench of the Supreme Court of India unanimously held that the right to privacy is a fundamental right protected under the Indian Constitution. The landmark judgment was delivered in the context of challenges to the Aadhaar biometric identity scheme. Chief Justice J S Khehar and eight other judges wrote separate concurring opinions. The ruling has far-reaching implications for data protection law in India.,Judiciary,"August 24, 2017"
"Supreme Court decriminalises Section 377, legalises same-sex relationships","New Delhi (PTI) - A five-judge constitution bench of the Supreme Court unanimously struck down the part of Section 377 of the Indian Penal Code that criminalised consensual homosexual acts between adults. Chief Justice Dipak Misra, writing the lead judgment, said the colonial-era law was a violation of fundamental rights including the right to equality, dignity, and privacy. The verdict was hailed as historic by LGBTQ activists across the country.",Judiciary,"September 06, 2018"
Supreme Court verdict paves way for Ram temple construction in Ayodhya,"New Delhi (PTI) - The Supreme Court in a unanimous verdict by a five-judge constitution bench directed that the disputed 2.77-acre site at Ayodhya be handed over to a trust to build a Ram temple. The court also directed the government to allot an alternative five-acre plot to the Sunni Waqf Board for a mosque. The 1,045-page judgment declared that the demolition of the Babri Masjid in 1992 was illegal and a violation of law.",Judiciary,"November 09, 2019"
"Ram Mandir consecration ceremony held in Ayodhya, PM Modi performs pran pratishtha","Ayodhya (PTI) - Prime Minister Narendra Modi performed the pran pratishtha or consecration ceremony of Ram Lalla at the newly constructed Ram temple in Ayodhya in the presence of thousands of saints, dignitaries, and prominent citizens from across India. The ceremony marked the culmination of a decades-long movement for the construction of a temple at the birthplace of Lord Ram. The event was televised nationally and celebrated across the country.",Social,"January 22, 2024"
Nirbhaya case convicts hanged after seven years of legal battle,"New Delhi (PTI) - The four convicts in the December 2012 Delhi gang rape case, commonly known as the Nirbhaya case, were hanged at Tihar Jail at 5:30 am after a prolonged legal battle spanning more than seven years. The convicts — Mukesh Singh, Pawan Gupta, Vinay Sharma, and Akshay Kumar Singh — were convicted of gang-raping a 23-year-old paramedic student on a bus and throwing her off. The hanging came after all legal remedies were exhausted.",Judiciary,"March 20, 2020"
India passes Personal Data Protection Bill in Parliament,"New Delhi (PTI) - The Indian Parliament passed the Digital Personal Data Protection Act, providing a legal framework for the collection, processing, and storage of digital personal data of Indian citizens. The law establishes a Data Protection Board and introduces the concept of data principals and data fiduciaries. It was widely seen as India's equivalent of the European Union's General Data Protection Regulation. Civil society groups raised concerns about exemptions granted to the government.",Judiciary,"August 09, 2023"
Farmers protest ends after government agrees to repeal three farm laws,"New Delhi (PTI) - Prime Minister Narendra Modi announced the repeal of the three controversial farm laws that had triggered a year-long protest by farmers mainly from Punjab, Haryana, and western Uttar Pradesh at the borders of Delhi. Modi said the government had failed to convince a section of farmers about the benefits of the laws and hence decided to repeal them. Parliament subsequently passed the Farm Laws Repeal Bill. The farmers' unions called off their protests.",Social,"November 19, 2021"
India passes Waqf Amendment Bill amid protests from Muslim groups,New Delhi (PTI) - The Indian Parliament passed the Waqf (Amendment) Bill despite protests from Muslim groups and opposition parties who said the bill interfered with the administration of Islamic charitable endowments. The government said the bill was aimed at bringing transparency and accountability to the Waqf Boards. Critics argued that the bill gave excessive powers to government-appointed members in Waqf Boards. The bill was referred to a joint parliamentary committee before being passed.,Social,"April 04, 2025"
Reliance Industries becomes first Indian company to cross Rs 20 lakh crore market cap,"Mumbai (PTI) - Reliance Industries Limited became the first Indian company to cross the market capitalisation of Rs 20 lakh crore on the stock exchanges, cementing its position as India's most valuable company by a wide margin. The conglomerate led by Mukesh Ambani has interests spanning petrochemicals, refining, retail, telecom, and digital services. Reliance's Jio Platforms had already attracted massive investments from global technology and private equity funds.",Business,"September 24, 2022"
